"countryname","happinessscore","healthy_life_expectancy","year_2019","social_support","generosity","beer_percapita","spirit_percapita","wine_percapita"
"Ukraine",4.324,64.902,66.92,0.888,-0.011,206,237,45
"Ghana",4.276,57.586,62.991,0.727,0.123,31,3,10
NULL,4.272,NULL,NULL,NULL,NULL,32,3,1
"Georgia",4.252,64.3,69.349,0.671,-0.238,52,100,149
NULL,4.236,NULL,NULL,NULL,NULL,76,1,9
"Senegal",4.219,59.802,65.757,0.71,-0.046,9,1,7
"Bulgaria",4.217,67,71.5,0.931,-0.096,231,252,94
"Zimbabwe",4.193,56.201,59.798,0.75,-0.047,64,18,4
"Malawi",4.156,57.948,61.101,0.537,0.038,8,11,1
"Gabon",4.121,59.962,64.382,0.776,-0.2,347,98,59
"Mali",4.073,51.969,58.529,0.724,-0.036,5,1,1
"Haiti",4.028,55.7,61.831,0.54,0.422,1,326,1
"Botswana",3.974,59.269,66.485,0.784,-0.246,173,35,35
"Comoros",3.956,57.349,62.587,0.626,0.082,1,3,1
NULL,3.916,NULL,NULL,NULL,NULL,37,1,7
"Cambodia",3.907,62,67.538,0.765,0.034,57,65,1
NULL,3.866,NULL,NULL,NULL,NULL,217,57,45
"Niger",3.856,53.78,61.281,0.641,0.018,3,2,1
"Chad",3.763,48.478,52.835,0.619,0.041,15,1,1
"Burkina Faso",3.739,54.151,60.739,0.672,-0.009,25,7,7
"Madagascar",3.695,59.305,65.417,0.686,-0.005,26,15,4
"Tanzania",3.666,57.999,63.643,0.702,0.183,36,6,1
"Liberia",3.622,56.498,62.715,0.72,0.05,19,152,2
"Benin",3.484,54.713,60.201,0.489,-0.034,34,4,13
"Togo",3.303,54.914,60.152,0.569,0.032,36,2,19
NULL,3.069,NULL,NULL,NULL,NULL,5,35,16
