CountryName,IndicatorName,Year 2019
Kazakhstan,"Life expectancy at birth, male (years)",68.82
Kenya,"Life expectancy at birth, male (years)",64.313
Kyrgyz Republic,"Life expectancy at birth, male (years)",67.6
Cambodia,"Life expectancy at birth, male (years)",67.538
Kiribati,"Life expectancy at birth, male (years)",64.248
St. Kitts and Nevis,"Life expectancy at birth, male (years)",66.783
"Korea, Rep.","Life expectancy at birth, male (years)",80.3
Kuwait,"Life expectancy at birth, male (years)",74.76
Latin America & Caribbean (excluding high income),"Life expectancy at birth, male (years)",72.24630656
Lao PDR,"Life expectancy at birth, male (years)",66.142
Lebanon,"Life expectancy at birth, male (years)",77.14
Liberia,"Life expectancy at birth, male (years)",62.715
Libya,"Life expectancy at birth, male (years)",70.097
St. Lucia,"Life expectancy at birth, male (years)",74.851
Latin America & Caribbean,"Life expectancy at birth, male (years)",72.46079969
Least developed countries: UN classification,"Life expectancy at birth, male (years)",63.47120716
Low income,"Life expectancy at birth, male (years)",61.93042352
Liechtenstein,"Life expectancy at birth, male (years)",80.7
Sri Lanka,"Life expectancy at birth, male (years)",73.596
Lower middle income,"Life expectancy at birth, male (years)",66.99562595
Low & middle income,"Life expectancy at birth, male (years)",69.12381955
Lesotho,"Life expectancy at birth, male (years)",51.201
Late-demographic dividend,"Life expectancy at birth, male (years)",73.80785611
Lithuania,"Life expectancy at birth, male (years)",71.5
Luxembourg,"Life expectancy at birth, male (years)",80.3
Latvia,"Life expectancy at birth, male (years)",70.8
"Macao SAR, China","Life expectancy at birth, male (years)",81.281
St. Martin (French part),"Life expectancy at birth, male (years)",76.9
Morocco,"Life expectancy at birth, male (years)",75.423
Monaco,"Life expectancy at birth, male (years)",66.783
Moldova,"Life expectancy at birth, male (years)",67.624
Madagascar,"Life expectancy at birth, male (years)",65.417
Maldives,"Life expectancy at birth, male (years)",77.523
Middle East & North Africa,"Life expectancy at birth, male (years)",72.63256618
Mexico,"Life expectancy at birth, male (years)",72.203
Marshall Islands,"Life expectancy at birth, male (years)",66.783
Middle income,"Life expectancy at birth, male (years)",69.94478355
North Macedonia,"Life expectancy at birth, male (years)",73.794
Mali,"Life expectancy at birth, male (years)",58.529
Malta,"Life expectancy at birth, male (years)",80.6
Myanmar,"Life expectancy at birth, male (years)",64.046
Middle East & North Africa (excluding high income),"Life expectancy at birth, male (years)",71.96095737
Montenegro,"Life expectancy at birth, male (years)",74.441
Mongolia,"Life expectancy at birth, male (years)",65.799
Northern Mariana Islands,"Life expectancy at birth, male (years)",66.783
Mozambique,"Life expectancy at birth, male (years)",57.782
Mauritania,"Life expectancy at birth, male (years)",63.305
Mauritius,"Life expectancy at birth, male (years)",71.07
Malawi,"Life expectancy at birth, male (years)",61.101
Malaysia,"Life expectancy at birth, male (years)",74.234
North America,"Life expectancy at birth, male (years)",76.68117383
Namibia,"Life expectancy at birth, male (years)",60.685
New Caledonia,"Life expectancy at birth, male (years)",75
Niger,"Life expectancy at birth, male (years)",61.281
Nigeria,"Life expectancy at birth, male (years)",53.789
Nicaragua,"Life expectancy at birth, male (years)",70.944
Netherlands,"Life expectancy at birth, male (years)",80.5
Norway,"Life expectancy at birth, male (years)",81.2
Nepal,"Life expectancy at birth, male (years)",69.259
Nauru,"Life expectancy at birth, male (years)",66.783
New Zealand,"Life expectancy at birth, male (years)",80
OECD members,"Life expectancy at birth, male (years)",77.635961
Oman,"Life expectancy at birth, male (years)",76.127
Other small states,"Life expectancy at birth, male (years)",67.33916584
Pakistan,"Life expectancy at birth, male (years)",66.337
Panama,"Life expectancy at birth, male (years)",75.421
Peru,"Life expectancy at birth, male (years)",74.06
Philippines,"Life expectancy at birth, male (years)",67.263
Palau,"Life expectancy at birth, male (years)",66.783
Papua New Guinea,"Life expectancy at birth, male (years)",63.271
Poland,"Life expectancy at birth, male (years)",74.1
Pre-demographic dividend,"Life expectancy at birth, male (years)",59.53493837
Puerto Rico,"Life expectancy at birth, male (years)",76.529
"Korea, Dem. People's Rep.","Life expectancy at birth, male (years)",68.615
Portugal,"Life expectancy at birth, male (years)",78
Paraguay,"Life expectancy at birth, male (years)",72.263
West Bank and Gaza,"Life expectancy at birth, male (years)",72.416
Pacific island small states,"Life expectancy at birth, male (years)",68.25210624
Post-demographic dividend,"Life expectancy at birth, male (years)",78.2430165
French Polynesia,"Life expectancy at birth, male (years)",75.612
Qatar,"Life expectancy at birth, male (years)",79.142
Romania,"Life expectancy at birth, male (years)",71.8
Russian Federation,"Life expectancy at birth, male (years)",68.24
Rwanda,"Life expectancy at birth, male (years)",66.821
South Asia,"Life expectancy at birth, male (years)",68.39121959
Saudi Arabia,"Life expectancy at birth, male (years)",73.935
Sudan,"Life expectancy at birth, male (years)",63.467
Senegal,"Life expectancy at birth, male (years)",65.757
Singapore,"Life expectancy at birth, male (years)",81.4
Solomon Islands,"Life expectancy at birth, male (years)",71.3
Sierra Leone,"Life expectancy at birth, male (years)",53.853
El Salvador,"Life expectancy at birth, male (years)",68.455
San Marino,"Life expectancy at birth, male (years)",66.783
Somalia,"Life expectancy at birth, male (years)",55.725
Serbia,"Life expectancy at birth, male (years)",73.1
Sub-Saharan Africa (excluding high income),"Life expectancy at birth, male (years)",59.84573528
South Sudan,"Life expectancy at birth, male (years)",56.351
Sub-Saharan Africa,"Life expectancy at birth, male (years)",59.85933026
Small states,"Life expectancy at birth, male (years)",68.09781071
Sao Tome and Principe,"Life expectancy at birth, male (years)",67.98
Suriname,"Life expectancy at birth, male (years)",68.468
Slovak Republic,"Life expectancy at birth, male (years)",74.3
Slovenia,"Life expectancy at birth, male (years)",78.5
Sweden,"Life expectancy at birth, male (years)",81.3
Eswatini,"Life expectancy at birth, male (years)",56.007
Sint Maarten (Dutch part),"Life expectancy at birth, male (years)",66.783
Seychelles,"Life expectancy at birth, male (years)",69.7
Syrian Arab Republic,"Life expectancy at birth, male (years)",67.941
Turks and Caicos Islands,"Life expectancy at birth, male (years)",66.783
Chad,"Life expectancy at birth, male (years)",52.835
East Asia & Pacific (IDA & IBRD countries),"Life expectancy at birth, male (years)",73.06837536
Europe & Central Asia (IDA & IBRD countries),"Life expectancy at birth, male (years)",70.48607609
Togo,"Life expectancy at birth, male (years)",60.152
Thailand,"Life expectancy at birth, male (years)",73.46
Tajikistan,"Life expectancy at birth, male (years)",68.935
Turkmenistan,"Life expectancy at birth, male (years)",64.705
Latin America & the Caribbean (IDA & IBRD countries),"Life expectancy at birth, male (years)",72.35870302
Timor-Leste,"Life expectancy at birth, male (years)",67.492
Middle East & North Africa (IDA & IBRD countries),"Life expectancy at birth, male (years)",71.95538067
Tonga,"Life expectancy at birth, male (years)",68.967
South Asia (IDA & IBRD),"Life expectancy at birth, male (years)",68.39121959
Sub-Saharan Africa (IDA & IBRD countries),"Life expectancy at birth, male (years)",59.85933026
Trinidad and Tobago,"Life expectancy at birth, male (years)",70.874
Tunisia,"Life expectancy at birth, male (years)",74.688
Turkey,"Life expectancy at birth, male (years)",74.724
Tuvalu,"Life expectancy at birth, male (years)",66.783
Tanzania,"Life expectancy at birth, male (years)",63.643
Uganda,"Life expectancy at birth, male (years)",61
Ukraine,"Life expectancy at birth, male (years)",66.92
Upper middle income,"Life expectancy at birth, male (years)",72.99617251
Uruguay,"Life expectancy at birth, male (years)",74.119
United States,"Life expectancy at birth, male (years)",76.3
Uzbekistan,"Life expectancy at birth, male (years)",69.592
St. Vincent and the Grenadines,"Life expectancy at birth, male (years)",70.289
"Venezuela, RB","Life expectancy at birth, male (years)",68.327
British Virgin Islands,"Life expectancy at birth, male (years)",66.783
Virgin Islands (U.S.),"Life expectancy at birth, male (years)",76.4
Vietnam,"Life expectancy at birth, male (years)",71.301
Vanuatu,"Life expectancy at birth, male (years)",68.985
World,"Life expectancy at birth, male (years)",70.57998213
Samoa,"Life expectancy at birth, male (years)",71.324
Kosovo,"Life expectancy at birth, male (years)",70.3
"Yemen, Rep.","Life expectancy at birth, male (years)",64.443
South Africa,"Life expectancy at birth, male (years)",60.726
Zambia,"Life expectancy at birth, male (years)",60.848
Zimbabwe,"Life expectancy at birth, male (years)",59.798
